JobTitle,Company,CompanyRating,JobLocation,Remote,PostDate,ExtractionDate,JobUrl
Data Engineer Barcelona,Accenture,"4,0","Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=45aa1807948ba3e1&fccid=a4e4e2eaf26690c9&vjs=3
Senior Data Scientist,Zurich Insurance,"3,6","Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=68c803b44b5deef3&fccid=34938366d45106af&vjs=3
Data Content Creator,Graphext Labs,,,True,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=970834a9e5210d4a&fccid=f4ecf3f0d829e8d1&vjs=3
Data Expert / Scientist,Enel,"4,0","Sevilla, Sevilla provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=f2c07fd8ea2ee234&fccid=fb309e44539d2522&vjs=3
CONTRACT University Degree - Health Sciences/Experimental Sciences - Data Scientist,Instituto de Investigacion Sanitaria La Fe,"3,7","Valencia, Valencia provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=6297fdc7dda4022e&fccid=c6bbf56bf89de3cf&vjs=3
Game Data Scientist,Social Point,,"Barcelona, Barcelona provincia",True,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=30f7c7a6876f12dc&fccid=cdf1db6d6ae5640b&vjs=3
Data Scientist,Initium HR,,"Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=399d3b12e61e4853&fccid=96599cdf6da7db08&vjs=3
Senior Data Scientist,DOCOMO Digital,,"Madrid, Madrid provincia",False,hace 6 días,2021-03-29,https://es.indeed.com/rc/clk?jk=58b74ac475702ab2&fccid=1f432019c4965471&vjs=3
Healthcare data scientist (Closed),Better Care,,"Sabadell, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=13fe863d708b9de2&fccid=aabfac029089a605&vjs=3
Data Management and Projects Internship,Keysight Technologies,"3,9","Barcelona, Barcelona provincia",False,hace 10 días,2021-03-29,https://es.indeed.com/rc/clk?jk=867ac50ecf7b0889&fccid=d072500b76ca23c2&vjs=3
DATA SCIENTIST,Gnarum,,"Madrid, Madrid provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=d8ffdf22d7b4f45f&fccid=02d58a58216276a5&vjs=3
Technical reseracher - Distributed machine learning for wearable sensors data in stroke (RE1),Barcelona Supercomputing Center (BSC),,"Barcelona, Barcelona provincia",False,hace 5 días,2021-03-29,https://es.indeed.com/rc/clk?jk=74f825934f6eb69b&fccid=a9e2246650287c61&vjs=3
DATA SCIENTIST I+D Turismo,Centre Tecnologic de Catalunya,,"Vila-seca, Tarragona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=9535415f24399ae7&fccid=6b79779c98eccf87&vjs=3
Senior Data Scientist,Westinghouse Electric Company,,"Madrid, Madrid provincia",False,hace 21 días,2021-03-29,https://es.indeed.com/rc/clk?jk=ce663ac86cdef269&fccid=42e773e039e3c8bf&vjs=3
Senior Data Scientist,Amazon EU SARL (Spain Branch),"3,6","Madrid, Madrid provincia",False,hace 18 días,2021-03-29,https://es.indeed.com/rc/clk?jk=a5a1785b171ecc62&fccid=fe2d21eef233e94a&vjs=3
Data Scientist,JUMP TV Solutions,,"Madrid, Madrid provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=d7dd6e1b5a4bb779&fccid=0aa6033e9f66c5c8&vjs=3
Data Scientist,SEREM,"2,2","Madrid, Madrid provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=01c57d5dd4cfd692&fccid=4bc686621ec1a1ef&vjs=3
Senior Data Engineer,Adevinta in Spain,,"Barcelona, Barcelona provincia",False,hace 12 días,2021-03-29,https://es.indeed.com/rc/clk?jk=b3a0fa5c6d634e7f&fccid=5aecff49966a6ffd&vjs=3
"Data Scientist/Científico de Datos, Madrid",Smartme Analytics,,"Madrid, Madrid provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=4833b0c903e3dc41&fccid=78837a27e34454fe&vjs=3
Data Scientist - Machine Learning,Jumio Corporation,,"Cañada, Alicante provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=ef24ab95183a49d0&fccid=4010626516c5a842&vjs=3
Senior Data Analyst,Social Point,,"Barcelona, Barcelona provincia",True,hace 5 días,2021-03-29,https://es.indeed.com/rc/clk?jk=9a48f6d27d3cc326&fccid=cdf1db6d6ae5640b&vjs=3
Data Engineer - BI,Glovo,"3,1","Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=659bb9771e1a0e37&fccid=e79aa74d1d3ace1e&vjs=3
Data Analytics Lead - Q-Commerce,Glovo,"3,1","Barcelona, Barcelona provincia",False,hace 24 días,2021-03-29,https://es.indeed.com/rc/clk?jk=09ba49f145a4b765&fccid=e79aa74d1d3ace1e&vjs=3
Development of data science web apps for epidemiology (R2),Barcelona Supercomputing Center (BSC),,"Barcelona, Barcelona provincia",False,hace 3 días,2021-03-29,https://es.indeed.com/rc/clk?jk=9d09d9dcc741afe5&fccid=a9e2246650287c61&vjs=3
Data Analyst / Scientist,OPM Recruitment,,"Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=a8712b9784276121&fccid=5f49509157db24a8&vjs=3
Consumer Product Analyst,Kiwi.com,,"Barcelona, Barcelona provincia",True,hace 16 días,2021-03-29,https://es.indeed.com/rc/clk?jk=ee5ffad6d9eafcc0&fccid=c385e65f4a1e078c&vjs=3
Data Engineer,SeQura,,"Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=03522440861083c2&fccid=3911ee578a01a7f1&vjs=3
Data Scientist - Machine Learning,Jumio Corporation,,"Cañada, Alicante provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=ef24ab95183a49d0&fccid=4010626516c5a842&vjs=3
Data Engineer - BI,Glovo,"3,1","Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=659bb9771e1a0e37&fccid=e79aa74d1d3ace1e&vjs=3
Data Engineer,GFT Technologies,,"Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=4ec80a69900b1809&fccid=8ab7cdd8a4b10bfc&vjs=3
User Acquisition Data Analyst,Gameloft,,"Barcelona, Barcelona provincia",False,hace 2 días,2021-03-29,https://es.indeed.com/rc/clk?jk=d14b47339e377c2f&fccid=7e0d9a513baca44d&vjs=3
Data Platform & Governance Manager,Adevinta in Spain,,"Barcelona, Barcelona provincia",True,hace 2 días,2021-03-29,https://es.indeed.com/rc/clk?jk=e40716f9bb061bdd&fccid=5aecff49966a6ffd&vjs=3
Senior Data Scientist,Tessella,,"Madrid, Madrid provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=f26ce6c2642d6d22&fccid=212af5778aa7175d&vjs=3
Senior Data Analyst,Social Point,,"Barcelona, Barcelona provincia",True,hace 5 días,2021-03-29,https://es.indeed.com/rc/clk?jk=9a48f6d27d3cc326&fccid=cdf1db6d6ae5640b&vjs=3
Model Risk Manager - Spain Remote,Revolut,,"Barcelona, Barcelona provincia",False,hace 10 días,2021-03-29,https://es.indeed.com/rc/clk?jk=97b54aa7095e76f2&fccid=1c00ce6833fa8f3d&vjs=3
Data Analyst - Routing,Glovo,"3,1","Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=e90010da741994ea&fccid=e79aa74d1d3ace1e&vjs=3
Computer Vision Engineer,GFT Technologies,,"Sant Cugat del Vallès, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=1912579bb96181b8&fccid=8ab7cdd8a4b10bfc&vjs=3
Development of data science web apps for epidemiology (R2),Barcelona Supercomputing Center (BSC),,"Barcelona, Barcelona provincia",False,hace 3 días,2021-03-29,https://es.indeed.com/rc/clk?jk=9d09d9dcc741afe5&fccid=a9e2246650287c61&vjs=3
Data Analytics Engineer,eDreams ODIGEO,"3,6","Barcelona, Barcelona provincia",True,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=e918ba64d77bd4db&fccid=34d04f6900db138d&vjs=3
Consumer Product Analyst,Kiwi.com,,"Barcelona, Barcelona provincia",True,hace 16 días,2021-03-29,https://es.indeed.com/rc/clk?jk=ee5ffad6d9eafcc0&fccid=c385e65f4a1e078c&vjs=3
Data Analytics Lead - Q-Commerce,Glovo,"3,1","Barcelona, Barcelona provincia",False,hace 24 días,2021-03-29,https://es.indeed.com/rc/clk?jk=09ba49f145a4b765&fccid=e79aa74d1d3ace1e&vjs=3
Data Scientist - Advanced Analytics,McKinsey & Company,"4,3","Madrid, Madrid provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=080cb629147626b2&fccid=6576e7250aa78c3c&vjs=3
